"Sample","CCR2","CCR2.1","IL10","HIF1A","IFNB1","ITGAM","TREM1","IFNA1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IFNA2","IL6","BCL2","CALCA","TLR4","ELANE","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","LBP","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.2","IL1R2.1","TLR2","CD177","IL1B","CCR2.3","CCR2.4","CRP","SOCS3","CCL25.1","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","PDCD1","CALCA.1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","HLA-DRA.1","FCGR1A","IL8","IFNG","BCL2.2","IL1R2.2","CCR2.5","VCAM1.1","VCAM1.2","CALCA.2","BCL2.3","PLAUR.1","CCR2.6","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","CCR2.7","CCR2.8","CD177.1","Label"
"GSM4075768",4.46742478,5.743011338,4.451694232,4.376164293,4.267405003,9.12899788,6.174753077,4.278545173,11.51195698,9.8618309,7.494491068,7.796690215,4.508138492,4.397123677,4.404530661,4.276241753,4.30840104,7.068226639,6.392228371,5.498194528,7.898705783,4.295471153,4.675510157,6.608819251,9.31815557,14.27454957,4.265616505,7.549038146,4.32127359,10.10962902,10.63664422,7.150821857,10.10374169,13.91314942,4.337462779,6.809024586,6.669475924,4.34662764,4.717018414,4.537788943,7.421207343,13.14819988,7.313928961,7.1496221,7.579109263,4.29815902,4.316629702,4.289242608,5.846927985,4.282953979,7.521824649,6.808207579,4.532344162,7.146711449,10.86574729,5.363903564,10.89500302,5.647603447,4.404653816,5.548495054,8.660872866,12.07876108,9.762116315,4.440063292,11.90343285,10.77026261,4.44122143,6.767237837,5.654160899,4.403057065,4.676998739,4.20698641,4.625474967,4.311918461,4.572339187,7.925756152,4.377707474,5.025828174,6.098784566,12.8209757,4.725347966,6.993429659,4.372700149,4.207714512,6.26486305,"Sepsis"
"GSM4075770",5.14443645,5.758920916,5.022158297,5.034755891,5.039317717,10.86484705,8.632777558,5.094649417,11.17132401,11.60806966,8.951542663,10.28086345,5.634440995,4.94202533,5.097077382,5.169661854,5.089708765,8.597224658,6.365059767,8.327033967,7.901820236,5.054350964,5.126819286,6.72613079,9.408111081,13.93643473,5.081790853,8.268575193,5.049827026,10.63690258,11.7037472,5.44969682,13.61332122,14.04996793,5.080188208,7.962301149,6.887438259,5.206175115,5.07095096,5.126946279,8.216155228,14.11225042,7.720493586,7.954228234,8.88654974,4.987329658,5.109413766,5.036435012,6.279084889,5.1039852,8.836466169,5.818848538,5.11262298,5.067231902,13.06139377,5.3727899,11.38193837,5.058298899,5.005597851,5.754901419,11.80418934,13.23988993,8.059050967,5.954662665,11.46668168,10.02780825,5.226839788,5.060579986,5.924135432,5.025224845,5.049337241,5.102240227,5.191759081,5.144354697,5.062762296,8.772274125,5.001671184,6.98546424,6.894466558,13.19165192,5.009263725,7.680169778,4.972305737,4.981379825,9.056538765,"Sepsis"
"GSM4075772",5.002827006,5.90654954,4.984431961,5.216489425,4.974614781,10.20972357,8.409532393,5.140884677,11.98124199,11.17711805,8.843648219,10.66760824,5.306648243,4.970710868,4.994997957,5.01697708,5.073310042,6.921864628,7.495682446,7.770723766,10.52250872,4.970493369,5.277306901,7.553955004,9.504623422,14.2030844,4.986093469,6.887744876,5.128153875,10.49542548,11.86229205,7.15801776,12.4667898,13.93381851,5.005876943,5.972102718,7.085285388,5.098258867,5.108533778,5.09699345,8.170347192,10.52100549,6.297693447,7.668661936,10.32521632,5.045363876,5.091854766,5.015968841,5.883260826,5.019954894,8.096266812,5.367102971,5.392479428,5.19573456,10.64035834,6.812006456,10.98619087,5.217599626,5.053510948,6.003073092,7.405647681,12.99288526,10.35799902,6.403571956,12.14887098,9.884207859,5.222904706,5.261204018,7.687597636,5.003789211,5.105332617,5.02499663,5.0848317,5.118855378,5.12537478,8.799100946,4.985169985,6.31534271,5.994680353,13.20500797,5.342722254,7.38701191,4.981202096,4.963258075,7.883602833,"Sepsis"
"GSM4075774",5.279020174,6.614089253,5.054080776,5.134453766,4.994952241,10.48196413,8.218688485,5.055291366,12.5260871,10.92593877,9.328470307,9.391615777,5.538344378,5.034749147,5.125365516,5.054389071,5.093766865,7.391422188,7.228439042,7.691273029,9.852575362,5.085792008,5.157893847,8.118488816,9.716424974,14.37706389,4.993320177,6.631548239,5.120952122,10.57727337,12.40213163,7.102022579,12.36352981,14.10237811,5.026408818,5.984517984,8.646288889,5.10828069,5.125605905,5.034665554,8.710526536,10.70467665,6.833935733,7.28816813,10.18399264,5.001694434,5.131429899,5.029857516,6.132815913,4.955434032,8.251813562,5.859086455,5.289634375,6.139969122,11.15557728,6.331237202,11.31046678,5.066374028,5.077609577,5.903216522,7.089991846,12.89142684,10.62520839,5.603957507,12.66670376,11.01329812,5.253738652,5.079623218,6.8321928,5.099327808,5.330949081,4.907432967,5.051695465,4.995894997,5.06200391,9.600444389,4.979334246,5.468299424,5.92235858,13.61332122,5.21108811,8.465150487,5.074839254,4.98650055,7.110044397,"Sepsis"
"GSM4075776",5.33543949,5.091093646,5.096600651,5.109956838,4.948027995,9.903685094,8.438711552,5.11512058,11.0471623,11.11607092,8.265569398,13.72085611,5.246719204,5.07606845,5.045871869,5.024488746,5.040255755,6.892037352,10.74467567,6.410453218,9.14309442,5.068425563,5.234177736,5.195042957,8.893660046,14.41641548,5.026875102,6.940746902,5.007827412,10.11624123,11.05398257,5.191153808,13.36805886,14.21968506,5.112016632,6.866238783,7.309712233,5.089417297,5.184896454,5.117240631,7.323248726,11.67745549,5.858056648,8.000816551,8.07020409,5.062271226,5.114990315,5.143918033,5.348293615,4.976664596,7.062929809,5.361053509,5.083255986,5.229389613,12.86500008,5.216700046,10.91548855,5.050390095,5.027367916,5.148375312,9.579764764,12.91526678,8.504530338,9.104176836,11.63737327,8.748083588,5.176248037,5.167289935,5.761010676,5.101018667,5.025464429,5.1513537,5.084241037,5.027931148,5.096517376,8.367818431,5.087678099,5.732933159,6.78511059,12.65050608,5.042540927,6.681957214,5.13086144,5.036710935,8.966596023,"Sepsis"
"GSM4075777",5.076483755,6.313238313,5.231229352,5.145318902,5.046021778,10.710575,8.926845204,4.996559238,10.87890056,11.68067972,8.796213914,10.44979123,5.235994217,5.059510685,5.131173921,5.021041482,5.10680267,8.724340726,9.394458466,6.993994631,9.790703642,5.075714077,5.179401681,7.195524339,9.628057386,13.59151099,5.01376383,8.184319561,5.064867796,10.96319199,12.06328517,5.225558745,13.54133812,13.91117408,5.033431316,7.760516792,6.61025897,5.210866537,5.078683473,5.070755088,8.280592796,13.89937236,7.508409824,9.042928142,8.119279275,5.057429473,5.17445524,5.073368139,6.532779972,5.179792244,9.553777625,6.793775243,5.572683895,5.18394887,13.05540474,5.98100148,11.29834504,5.060007823,5.015307723,5.673922349,8.815319075,12.49772625,7.221486335,6.007543843,11.04783756,8.931098511,5.087319145,5.017253503,6.835852843,4.980837979,5.219376652,4.995415931,5.166956018,4.910691017,5.140501653,9.253894491,5.001066966,6.428571715,6.948683118,13.44282847,5.15369735,8.176543944,5.014299257,4.989422451,9.729866582,"Sepsis"
"GSM4075780",4.356754195,8.137688109,4.378309065,4.618342161,4.282459859,9.843855708,8.161551537,4.447334045,12.01632826,10.25218422,7.778809881,8.325597316,4.73652651,4.443774143,4.438427078,4.326341995,4.39168747,8.095372445,7.328105527,7.731301964,8.457604606,4.270457786,4.436476545,6.04321953,9.849208285,14.21682749,4.247499358,7.207316052,4.30614946,9.98157131,10.46487279,7.041923673,10.08782474,14.51605641,4.535860829,4.876210753,7.276925786,4.297569037,4.422420801,4.589917181,8.879857324,10.68021193,7.575157834,6.663013393,10.46081109,4.299059026,4.71850906,4.366516967,7.771800873,4.183545817,8.145650477,6.365686938,4.297773117,4.628665898,10.24218273,6.65710631,10.51013367,4.192117494,4.197006675,4.771184527,8.451430627,11.50543199,9.621517592,5.796357069,12.16592171,10.46631241,5.360163635,4.257337315,6.71998606,4.312831098,5.063072086,4.254284562,4.348208882,4.309966671,4.306062915,8.168621819,4.249174277,4.371238865,5.667306544,13.35994976,4.332252081,7.361853635,4.454226004,4.242700461,7.034033437,"Sepsis"
"GSM4075782",4.337444038,7.522091816,4.703346439,4.837914316,4.216101049,10.35977521,7.97933921,4.298519929,12.34053755,10.06123038,8.230362006,9.953256474,6.143849159,4.420773117,4.322908416,4.319401172,4.25915963,7.773954828,9.315810174,8.657687338,9.511883218,4.229026596,4.802156025,6.511899035,9.39725376,14.07202416,4.285224804,6.27567662,4.504646598,10.024065,11.21821581,5.570363482,9.680537461,14.60514634,4.610176888,7.09176334,7.173368463,5.049397168,4.744052153,4.393830114,8.196822751,12.10261502,6.839311167,5.635080848,8.643440879,4.290345973,4.780502428,4.279548151,6.042977958,4.223312457,7.99138535,6.298896613,4.46016385,4.617332168,11.27642693,5.886589329,10.00611203,4.327627032,4.497056274,6.027052103,9.036138525,11.3383865,8.457604606,5.885281003,12.27564348,8.673638569,5.56477645,4.300169727,6.454993061,4.498802434,5.265052064,4.308301096,4.473402479,4.417930833,4.393821978,8.690669892,4.239230898,4.784756,5.618289565,13.34695552,4.524808248,8.090196571,4.364677861,4.247424189,5.191907715,"Sepsis"
"GSM4075784",4.346799365,5.734356103,4.266062147,4.225289537,4.218673725,10.59101737,7.603637301,4.412258339,11.61342141,10.91591122,8.858462326,10.57423584,4.792884616,4.548482546,4.52237699,4.29911589,4.329923644,7.42007463,7.89841277,6.709820779,9.031619469,4.189856126,5.02485914,8.007887833,9.683691693,14.17636053,4.192351219,7.324867252,4.341157919,10.74818989,12.05810144,6.518237621,11.85555842,13.81506813,5.289216248,6.158033039,6.481490573,4.565928791,4.316380845,4.296314168,7.289119551,11.88468503,7.067795482,9.296169258,9.614783072,4.353983518,4.352400648,4.289670175,7.144333934,4.247739014,9.168780922,6.539372377,4.513367678,4.745603745,10.29937216,5.391836096,11.19883852,4.289690313,4.470366814,6.401706423,8.856594802,11.83976854,9.048328452,8.752792297,11.78086155,11.72908275,4.473214603,4.419426999,6.616698198,4.321984068,4.447970761,4.241446751,4.499770514,4.354016414,4.351626455,9.272162039,4.235576279,5.645874842,6.395276853,13.68833262,4.276549966,8.438754603,4.307295834,4.209554532,8.784876567,"Sepsis"
"GSM4075786",4.211128899,8.525612506,4.349059736,4.677100197,4.430593618,9.995898151,6.126229924,4.241937413,12.45207025,10.01415368,7.514135711,10.66590234,5.275101589,4.267241465,4.324704785,4.307383174,4.459642072,7.037070425,9.851264492,7.666840334,9.786730383,4.349763384,4.69926198,6.881038907,8.678354149,13.41621043,4.373201685,5.655154407,4.292522349,9.839533461,11.8345231,6.402830316,10.31763048,13.49015901,4.328968757,5.338969326,7.59814405,4.645200516,4.35923789,4.359639355,10.0571883,10.0166067,6.191972854,7.227591395,7.636621752,4.260242312,4.920834405,4.389483853,5.942031749,4.259658705,6.759709122,5.394576127,4.606079362,4.884781568,9.931635806,6.609480509,10.62566005,4.434074481,4.396029203,5.012694581,7.340799624,11.38848015,9.910148409,5.426123667,12.59931264,9.349384348,4.853131946,4.668584574,7.644383233,4.418044675,5.912930319,4.193577606,4.275571796,4.237119201,4.445134362,8.245654103,4.312220919,5.216811629,5.259098308,13.70623335,4.839443845,7.202824046,4.358426837,4.408568753,6.471415767,"Sepsis"
