"","x"
"1","CALCA"
"2","CRP"
"3","TREM1"
"4","PLAUR"
"5","LBP"
"6","IL6"
"7","HMGB1"
"8","ELANE"
"9","CXCL8"
"10","IL10"
"11","IL1B"
"12","S100A8"
"13","S100A9"
"14","S100A12"
"15","CD14"
"16","FCGR1A"
"17","ITGAM"
"18","C3AR1"
"19","C5AR1"
"20","LCN2"
"21","CXCL10"
"22","IFNG"
"23","CCL19"
"24","CCL25"
"25","CX3CR1"
"26","P2RX7"
"27","PTX3"
"28","TNFSF10"
"29","MMP8"
"30","MMP9"
"31","TNF"
"32","MYD88"
"33","NLRP3"
"34","TLR2"
"35","TLR4"
"36","NOTCH1"
"37","BCL2"
"38","PDCD1"
"39","CCL2"
"40","ARG1"
"41","IL1R2"
"42","CD177"
"43","OLFM4"
"44","MAPK14"
"45","VCAM1"
"46","ICAM1"
"47","SOCS3"
"48","GATA3"
"49","CCR7"
"50","CCR2"
"51","HIF1A"
