"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,0.875,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.5,0.666666666666667,1,0.5,1,1,0.5
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.5,0.666666666666667,1,0.5,1,1,0.5
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
